UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
418454,16,51.3901,A,.,A,.,R,1603,1,R,12,R,48,R,900,R,26,R,12780,R,13580,R,14150,R,15385,R,1625,R,1650,R,2040,R,1650,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,7200,R,7200,R,7200,R,7200,R,5700,R,5700,R,5700,R,5700,R,5700,R,5700,R,5700,R,5700,49.0202,R,14430,R,150,R,800,1,R,6,43.0107,R,5177,R,1130,R,808,1,R,12,46.0302,R,7800,R,1398,R,720,1,R,8,47.0201,R,7870,R,1584,R,720,1,R,8,48.0508,R,9145,R,661,R,720,1,R,10
418481,1,51.3901,A,.,A,.,R,1540,1,R,12,R,48,R,900,R,30,R,11625,R,11082,R,11525,R,11525,R,1086,R,1720,R,1720,R,1720,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,13536,R,15864,R,16464,R,16464,R,4800,R,5040,R,6000,R,6000,R,4800,R,5040,R,6000,R,6000,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.
418506,1,51.3901,A,.,A,.,R,1560,1,R,13,R,52,R,1000,R,52,R,8330,R,9500,R,9500,R,10000,R,600,R,650,R,662,R,662,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,5395,R,6175,R,6500,R,6500,R,1950,R,2210,R,2210,R,2210,R,1950,R,2210,R,2210,R,2210,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.
418515,1,51.3901,A,.,A,.,R,1554,1,R,12,R,48,R,900,R,28,R,12000,R,12755,R,13275,R,13490,R,1149,R,1102,R,1025,R,919,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,11088,R,12888,R,14688,R,14280,R,8016,R,6444,R,6852,R,6360,R,8016,R,6444,R,6852,R,6360,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.
418524,1,51.3901,A,.,A,.,R,1505,1,R,12,R,46,R,1008,R,32,R,10405,R,10987,R,11198,R,11383,R,762,R,776,R,863,R,665,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,5164,R,9844,R,9706,R,9430,R,3519,R,5555,R,4198,R,6601,R,3519,R,5555,R,4198,R,6601,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.
418533,31,51.3901,A,.,A,.,R,1575,1,R,12,R,48,R,1000,R,32,R,10854,R,11275,R,11756,R,12098,R,1206,R,1260,R,1201,R,1243,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,14400,R,14400,R,14400,R,14400,R,1680,R,1680,R,1920,R,1920,R,1680,R,1680,R,1920,R,1920,48.0508,R,7792,R,185,R,1080,1,R,12,51.0801,R,8260,R,465,R,1080,1,R,9,51.0601,R,7787,R,580,R,1080,1,R,9,51.0808,R,8470,R,365,R,1080,1,R,9,51.0707,R,7922,R,465,R,1080,1,R,9
418542,14,51.3901,A,.,A,.,R,1500,1,R,12,R,48,R,900,R,30,R,10500,R,10700,R,10950,R,11500,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9600,R,12000,R,10800,R,11400,R,9000,R,8400,R,7800,R,8400,R,8100,R,8400,R,8400,R,8400,51.0801,R,6600,R,1000,R,910,1,R,12,51.0601,R,6600,R,1000,R,910,1,R,12,12.0501,R,6600,R,1000,R,910,1,R,12,46.0503,R,6600,R,1000,R,910,1,R,12,46.0399,R,6600,R,1000,R,910,1,R,12
418560,18,51.3901,A,.,A,.,R,1550,1,R,12,R,48,R,950,R,30,R,14276,R,14769,R,14841,R,15424,R,1616,R,1427,R,1479,R,1468,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,6600,R,6600,R,8400,R,8400,R,6000,R,6000,R,6000,R,6000,R,6000,R,6000,R,6000,R,6000,48.0508,R,7925,R,1000,R,720,1,R,10,51.0801,R,13675,R,1900,R,1030,1,R,15,12.0401,R,7575,R,500,R,720,1,R,10,46.0399,R,7575,R,500,R,720,1,R,10,48.0501,R,7575,R,500,R,720,1,R,10
418588,1,51.3901,A,.,A,.,R,1575,1,R,13,R,52,R,1050,R,33,R,10782,R,10782,R,10782,R,10998,R,2039,R,2039,R,2114,R,2096,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,14300,R,14300,R,14300,R,14300,R,10140,R,10400,R,10920,R,10920,R,7800,R,8060,R,5720,R,5720,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.
418603,1,51.3901,A,.,A,.,R,1580,1,R,12,R,48,R,900,R,30,R,12275,R,12800,R,12800,R,12800,R,1085,R,1110,R,1218,R,1118,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,10500,R,10800,R,11100,R,11160,R,2100,R,2400,R,2556,R,2760,R,1920,R,2100,R,2400,R,2520,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,-2,A,.
